name,image_url,category,price,stock,description
Fastdry Active Panelled Track Pants,https://assets.ajio.com/medias/sys_master/root/20220125/NdPb/61ef13c0aeb2695cdd2bb6a2/-286Wx359H-441128505-jetblack-MODEL.jpg,Men,799,100,Fastdry Active Panelled Track Pants
Slim Fit Flat-Front Trousers,https://assets.ajio.com/medias/sys_master/root/20201202/lCKV/5fc68ccdaeb269d56324fbe2/-286Wx359H-441103100-jetblack-MODEL.jpg,Men,899,100,Slim Fit Flat-Front Trousers
Mid-Rise Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/ha6/he3/15636645478430/-286Wx359H-441038489-black-MODEL.jpg,Men,999,100,Mid-Rise Slim Fit Jeans
Crew-Neck T-shirt with Brand Icon,https://assets.ajio.com/medias/sys_master/root/20210828/0ozJ/61297a6f7cdb8cb8240b1361/-286Wx359H-460856330-black-MODEL.jpg,Men,"1,499",100,Crew-Neck T-shirt with Brand Icon
Tapered Fit Flat-Front Chinos,https://assets.ajio.com/medias/sys_master/root/20210814/H4Qr/6116d1317cdb8cb824f78a17/-286Wx359H-441124499-stone-MODEL.jpg,Men,"1,499",100,Tapered Fit Flat-Front Chinos
Mid-Rise Shorts with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/hb2/h6c/12259082666014/-286Wx359H-440929331-charcoal-MODEL.jpg,Men,299,100,Mid-Rise Shorts with Insert Pockets
Cropped Slim Fit Chinos with Slip Pockets,https://assets.ajio.com/medias/sys_master/root/20211201/Yx3J/61a6976eaeb2690110e80377/-286Wx359H-441131542-green-MODEL.jpg,Men,"1,299",100,Cropped Slim Fit Chinos with Slip Pockets
Striped Polo T-shirt with Ribbed Hems,https://assets.ajio.com/medias/sys_master/root/20210225/Q90z/6037be57f997dd5c40fbf0bf/-286Wx359H-441120075-navy-MODEL.jpg,Men,899,100,Striped Polo T-shirt with Ribbed Hems
Tapered Fit Flat-Front Trousers,https://assets.ajio.com/medias/sys_master/root/20210913/pvPy/613f6dd8f997ddce89c3d07a/-286Wx359H-441124497-ltgrey-MODEL.jpg,Men,"1,499",100,Tapered Fit Flat-Front Trousers
Core Varsity Polo T-shirt with Contrast Tipping,https://assets.ajio.com/medias/sys_master/root/20211019/U4It/616dda2eaeb26901109a9256/-286Wx359H-441113673-navy-MODEL.jpg,Men,499,100,Core Varsity Polo T-shirt with Contrast Tipping
Striped Button-Down T-shirt,https://assets.ajio.com/medias/sys_master/root/20220125/ljAP/61eeffc1f997dd66233822f4/-286Wx359H-441136051-red-MODEL.jpg,Men,699,100,Striped Button-Down T-shirt
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/BTaL/6050ca96f997dd5c4013abbb/-286Wx359H-460698880-orange-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/Dloa/604fbd8caeb2696981866830/-286Wx359H-460698941-beige-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
Polo T-shirt with Signature Branding,https://assets.ajio.com/medias/sys_master/root/hdd/h04/10247919534110/-286Wx359H-440762638-turquoise-OUTFIT.jpg,Men,499,100,Polo T-shirt with Signature Branding
Lightly Washed Fitted Jeans,https://assets.ajio.com/medias/sys_master/root/h84/ha1/14876749266974/-286Wx359H-441038479-mediumblue-MODEL.jpg,Men,799,100,Lightly Washed Fitted Jeans
Mid-Rise Skinny Fit Jeans,https://assets.ajio.com/medias/sys_master/root/h67/h78/15636702035998/-286Wx359H-441038485-black-MODEL.jpg,Men,999,100,Mid-Rise Skinny Fit Jeans
Jacquard-Woven Slim Fit Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20211228/7icQ/61ca2db2aeb26901101f06b5/-286Wx359H-441134733-olive-MODEL.jpg,Men,799,100,Jacquard-Woven Slim Fit Polo T-shirt
Mid-Rise Washed Cropped Skinny Jeans,https://assets.ajio.com/medias/sys_master/root/20220216/pOV4/620bfa1bf997dd03e2d1ea1d/-286Wx359H-441126173-medgrey-MODEL.jpg,Men,"1,699",100,Mid-Rise Washed Cropped Skinny Jeans
Heathered Track Pants with Contrast Taping,https://assets.ajio.com/medias/sys_master/root/20211123/3iFz/619bfa94f997ddf8f112ba17/-286Wx359H-441031716-greymelange-MODEL.jpg,Men,499,100,Heathered Track Pants with Contrast Taping
Heathered Track Pants with Contrast Taping,https://assets.ajio.com/medias/sys_master/root/20210202/I2X5/60198230f997dd5c40e53028/-286Wx359H-441031716-black-MODEL.jpg,Men,499,100,Heathered Track Pants with Contrast Taping
Striped Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210528/LfCo/60aff947f997ddb312abfc84/-286Wx359H-441119286-navy-MODEL.jpg,Men,999,100,Striped Slim Fit Shirt with Patch Pocket
Core Rib V-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220429/T2dg/626af683aeb26921af49a0c7/-286Wx359H-441113102-jetblack-MODEL.jpg,Men,499,100,Core Rib V-Neck T-shirt
Slim Fit Flat-Front Trousers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210814/fOPB/6116c8b9aeb269a2687241ee/-286Wx359H-441125999-navy-MODEL.jpg,Men,"1,499",100,Slim Fit Flat-Front Trousers with Insert Pockets
Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210403/SFRS/606869e37cdb8c1f14754d55/-286Wx359H-461118587-white-MODEL.jpg,Men,"1,849",100,Slim Fit Shirt with Patch Pocket
Lightly Washed Mid-Rise Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20210706/7vFe/60e36988aeb269a9e3381f95/-286Wx359H-441124255-mediumblue-MODEL.jpg,Men,"1,499",100,Lightly Washed Mid-Rise Slim Fit Jeans
Checked Slim Fit Shirt with Welt Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/jYvS/604fabf97cdb8c1f14632857/-286Wx359H-460552756-navyblue-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Welt Pocket
 Slim Fit Shirt with Spread Collar,https://assets.ajio.com/medias/sys_master/root/20210420/1o3B/607eccfeaeb269a9e39729ee/-286Wx359H-462323964-purple-MODEL.jpg,Men,"1,849",100, Slim Fit Shirt with Spread Collar
Track Pants with Contrast Taping,https://assets.ajio.com/medias/sys_master/root/haa/h8f/15322059472926/-286Wx359H-441031716-olive-MODEL.jpg,Men,499,100,Track Pants with Contrast Taping
Heathered Joggers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210601/Ea7L/60b539a7aeb269a9e3ceb78b/-286Wx359H-441119486-petrol-MODEL.jpg,Men,899,100,Heathered Joggers with Insert Pockets
Checked Cotton Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210831/LMbD/612d5a347cdb8cb8240f523c/-286Wx359H-441123902-navy-MODEL.jpg,Men,999,100,Checked Cotton Shirt with Patch Pocket
Cotton Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/hde/h9d/13003351818270/-286Wx359H-440971113-purple-MODEL.jpg,Men,899,100,Cotton Shirt with Patch Pocket
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211125/mQQ3/619e8bd4f997ddf8f119e953/-286Wx359H-460353507-green-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
Camouflage Print Track Pants with Drawstring Waistband,https://assets.ajio.com/medias/sys_master/root/20210824/1PVJ/6123f2867cdb8cb824028028/-286Wx359H-441118465-grey-MODEL.jpg,Men,999,100,Camouflage Print Track Pants with Drawstring Waistband
Ombre-Dyed Henley T-shirt,https://assets.ajio.com/medias/sys_master/root/20210709/LI7n/60e79a30f997ddb312226dfa/-286Wx359H-462617340-green-MODEL.jpg,Men,899,100,Ombre-Dyed Henley T-shirt
Flat-Front Tapered Chinos,https://assets.ajio.com/medias/sys_master/root/20211118/3Tzx/61955cf9aeb2690110ca995c/-286Wx359H-441121065-jetblack-MODEL.jpg,Men,"1,499",100,Flat-Front Tapered Chinos
Slim Fit Flat Front Trousers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20211202/8jDL/61a7cc74f997ddf8f12c7f28/-286Wx359H-441130014-brown-MODEL.jpg,Men,"1,799",100,Slim Fit Flat Front Trousers with Insert Pockets
Geometric Print Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root/20210909/UNKr/613a00467cdb8cb8241ea1f6/-286Wx359H-460815165-white-MODEL.jpg,Men,"1,749",100,Geometric Print Slim Fit Shirt
Track Pants with Contrast Taping,https://assets.ajio.com/medias/sys_master/root/20211217/rBUz/61bcb4adaeb269011011343e/-286Wx359H-460952815-blue-MODEL.jpg,Men,"2,795",100,Track Pants with Contrast Taping
Cotton Shirt with Flap Pockets,https://assets.ajio.com/medias/sys_master/root/20220125/Cpay/61ef1cc2f997dd6623398639/-286Wx359H-441213670-navy-MODEL.jpg,Men,"1,499",100,Cotton Shirt with Flap Pockets
Polo T-shirt with Signature Branding,https://assets.ajio.com/medias/sys_master/root/he4/h8c/10247893057566/-286Wx359H-440762638-offwhite-OUTFIT.jpg,Men,499,100,Polo T-shirt with Signature Branding
Flat-Front Tapered Chinos with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210811/HIVP/6113ed717cdb8cb824f3e553/-286Wx359H-441121061-jetblack-MODEL.jpg,Men,"1,499",100,Flat-Front Tapered Chinos with Insert Pockets
Slim Fit Polo T-shirt with Contrast Tipping,https://assets.ajio.com/medias/sys_master/root/20210814/hgf4/6116cc7b7cdb8cb824f77b8d/-286Wx359H-441120433-white-MODEL.jpg,Men,699,100,Slim Fit Polo T-shirt with Contrast Tipping
Mid-Rise Jogger Pants with Elasticated Drawstring Waist,https://assets.ajio.com/medias/sys_master/root/20220217/2qRg/620d5238f997dd03e2d3a075/-286Wx359H-441134550-gunmetal-MODEL.jpg,Men,"1,599",100,Mid-Rise Jogger Pants with Elasticated Drawstring Waist
Cropped Slim Fit Chinos with Slip Pockets,https://assets.ajio.com/medias/sys_master/root/20211210/d6RJ/61b353b6aeb269011007b5e6/-286Wx359H-441131542-darkolive-MODEL.jpg,Men,"1,299",100,Cropped Slim Fit Chinos with Slip Pockets
Cotton Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/hce/hfe/14383102591006/-286Wx359H-440971113-ltgrey-MODEL.jpg,Men,899,100,Cotton Shirt with Patch Pocket
Typographic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20210731/NfDJ/61044965aeb269a9e35b76e6/-286Wx359H-441123101-grey-MODEL.jpg,Men,499,100,Typographic Print Crew-Neck T-shirt
Slim Fit Polo T-shirt with Cut & Sew Panels,https://assets.ajio.com/medias/sys_master/root/20211202/BFOk/61a7d0d0f997ddf8f12cadf3/-286Wx359H-441124990-green-MODEL.jpg,Men,699,100,Slim Fit Polo T-shirt with Cut & Sew Panels
Brand Print Ombre Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220303/XHc2/621fc406f997dd03e2fd5b6f/-286Wx359H-441133307-darkblue-MODEL.jpg,Men,599,100,Brand Print Ombre Crew-Neck T-shirt
Graphic Print Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20210827/ZKvd/61291801aeb269a26880a959/-286Wx359H-460856331-white-MODEL.jpg,Men,"1,499",100,Graphic Print Crew-Neck T-shirt
Denim Slim Fit Shirt with Flap Pockets,https://assets.ajio.com/medias/sys_master/root/20210403/dKML/6068678df997dd7b645d965e/-286Wx359H-461117395-blue-MODEL.jpg,Men,"2,499",100,Denim Slim Fit Shirt with Flap Pockets
Slim Fit Shirt with Band Collar,https://assets.ajio.com/medias/sys_master/root/20210403/Cvwo/60686ecfaeb269a9e33218f5/-286Wx359H-461119027-pink-MODEL.jpg,Men,"1,849",100,Slim Fit Shirt with Band Collar
Quickdry Unlined Running Windbreaker Jacket,https://assets.ajio.com/medias/sys_master/root/20220120/GaVT/61e9837faeb2695cdd226529/-286Wx359H-441110840-darkblue-MODEL.jpg,Men,999,100,Quickdry Unlined Running Windbreaker Jacket
Cotton Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/h46/hea/13001739894814/-286Wx359H-440971113-white-MODEL.jpg,Men,899,100,Cotton Shirt with Patch Pocket
Heathered Track Pants with Contrast Taping,https://assets.ajio.com/medias/sys_master/root/h7b/h73/15155852214302/-286Wx359H-441031716-charcoal-MODEL.jpg,Men,499,100,Heathered Track Pants with Contrast Taping
Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210403/dd2q/606867587cdb8c1f1475201d/-286Wx359H-461117376-purple-MODEL.jpg,Men,"1,849",100,Slim Fit Shirt with Patch Pocket
Core Varsity Polo T-shirt with Contrast Tipping,https://assets.ajio.com/medias/sys_master/root/20210907/RUuG/61368478f997ddce89be383b/-286Wx359H-441113673-pink-MODEL.jpg,Men,499,100,Core Varsity Polo T-shirt with Contrast Tipping
Striped Slim Fit Shirt with Band Collar,https://assets.ajio.com/medias/sys_master/root/20210407/qXPv/606cb3acf997dd7b64a5b3e7/-286Wx359H-441120039-navy-MODEL.jpg,Men,"1,049",100,Striped Slim Fit Shirt with Band Collar
Reflective Colourblock Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220303/Wnd2/621fba29f997dd03e2fd2c32/-286Wx359H-441136539-olive-MODEL.jpg,Men,599,100,Reflective Colourblock Crew-Neck T-shirt
Classic Slim Fit Shirt with Full Sleeves,https://assets.ajio.com/medias/sys_master/root/20210420/E2zl/607eccd6aeb269a9e397277f/-286Wx359H-462323964-blue-MODEL.jpg,Men,"1,849",100,Classic Slim Fit Shirt with Full Sleeves
Slim Fit Checked Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211125/X1Qp/619e9702f997ddf8f11a1941/-286Wx359H-460353521-khaki-MODEL.jpg,Men,"1,749",100,Slim Fit Checked Shirt with Patch Pocket
Striped Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210814/7Ctc/6116daf67cdb8cb824f7b20d/-286Wx359H-441123872-white-MODEL.jpg,Men,999,100,Striped Shirt with Patch Pocket
Slim Fit Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20210609/G4jn/60bfc532f997ddb312c0fd1d/-286Wx359H-441126569-maroon-MODEL.jpg,Men,699,100,Slim Fit Polo T-shirt
Lightly Washed Skinny Jeans,https://assets.ajio.com/medias/sys_master/root/20220419/etUg/625dc2e3aeb26921af2989fe/-286Wx359H-441139484-jetblack-MODEL.jpg,Men,"2,199",100,Lightly Washed Skinny Jeans
Relaxed Jeans with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210710/K1Fp/60e97be6f997ddb31223a2c5/-286Wx359H-462137740-grey-MODEL.jpg,Men,"2,999",100,Relaxed Jeans with Insert Pockets
Crew-Neck T-shirt with Contrast Stripes,https://assets.ajio.com/medias/sys_master/root/20220121/ihND/61ea59caaeb2695cdd244489/-286Wx359H-461085141-blue-MODEL.jpg,Men,999,100,Crew-Neck T-shirt with Contrast Stripes
Printed Cotton Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210831/hKG1/612d318af997ddce89b27a82/-286Wx359H-441125841-white-MODEL.jpg,Men,999,100,Printed Cotton Shirt with Patch Pocket
Checked Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211020/G0t7/616f1139aeb26901109c0a31/-286Wx359H-441124083-offwhite-MODEL.jpg,Men,999,100,Checked Shirt with Patch Pocket
Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210403/ZuMQ/6068643df997dd7b645d4c24/-286Wx359H-461118551-black-MODEL.jpg,Men,"1,849",100,Slim Fit Shirt with Patch Pocket
Striped Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20220301/eVU3/621e376baeb26921afbf074c/-286Wx359H-441137366-red-MODEL.jpg,Men,699,100,Striped Polo T-shirt
Floral Print Slim Fit Shirt,https://assets.ajio.com/medias/sys_master/root/h86/h5e/15814176210974/-286Wx359H-460601705-black-MODEL.jpg,Men,"1,749",100,Floral Print Slim Fit Shirt
Cotton Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211013/UEJU/61661448f997ddf8f1cc4602/-286Wx359H-440971113-maroonburg-MODEL.jpg,Men,899,100,Cotton Shirt with Patch Pocket
Mid-Wash Distressed Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20211013/stqg/61661142f997ddf8f1cc10df/-286Wx359H-461192936-blue-MODEL.jpg,Men,"1,899",100,Mid-Wash Distressed Slim Fit Jeans
Fastdry Running Active Essential Shorts,https://assets.ajio.com/medias/sys_master/root/h35/h5c/9680892035102/-286Wx359H-440672491-navy-OUTFIT.jpg,Men,599,100,Fastdry Running Active Essential Shorts
Crew-Neck T-shirt with Thumbhole Sleeves,https://assets.ajio.com/medias/sys_master/root/20211103/uiiT/61818e88aeb2690110b7665a/-286Wx359H-441125913-ecru-MODEL.jpg,Men,699,100,Crew-Neck T-shirt with Thumbhole Sleeves
Blr Mb 512 Smu Mochlo Washed Mid-Rise Slim Jeans,https://assets.ajio.com/medias/sys_master/root/20211006/9z0W/615d9a8ef997ddce89036c92/-286Wx359H-460977757-black-MODEL.jpg,Men,"2,499",100,Blr Mb 512 Smu Mochlo Washed Mid-Rise Slim Jeans
Slim Fit Flat-Front Trousers,https://assets.ajio.com/medias/sys_master/root/20211112/UewY/618e8292aeb2690110c23808/-286Wx359H-441130007-blue-MODEL.jpg,Men,"1,299",100,Slim Fit Flat-Front Trousers
Crew-Neck T-shirt with Brand Icon,https://assets.ajio.com/medias/sys_master/root/20210827/ET7z/612920f57cdb8cb8240a8df3/-286Wx359H-460856318-black-MODEL.jpg,Men,"1,299",100,Crew-Neck T-shirt with Brand Icon
Checked Slim Fit Shacket,https://assets.ajio.com/medias/sys_master/root/20210703/086x/60df9a82f997ddb3121a5d89/-286Wx359H-462587074-olive-MODEL.jpg,Men,"2,499",100,Checked Slim Fit Shacket
Mid-Rise Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220224/zVaa/621680faaeb26921afb2eb53/-286Wx359H-469084060-blue-MODEL.jpg,Men,"2,599",100,Mid-Rise Slim Fit Jeans
Relaxed Fit Flat-Front City Shorts,https://assets.ajio.com/medias/sys_master/root/20210727/0Xxt/60ff3ca1f997ddb3123960cf/-286Wx359H-441117024-stone-MODEL.jpg,Men,899,100,Relaxed Fit Flat-Front City Shorts
Fastdry Active Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20220126/bb1Z/61f048fdf997dd66233c6c5d/-286Wx359H-441128501-offwhite-MODEL.jpg,Men,499,100,Fastdry Active Crew-Neck T-shirt
Brand Print Track Pants with Elasticated Waist,https://assets.ajio.com/medias/sys_master/root/20210824/PODs/6124153af997ddce89a906fd/-286Wx359H-460960484-black-MODEL.jpg,Men,"3,599",100,Brand Print Track Pants with Elasticated Waist
Striped Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210907/lNoC/613666eaaeb269a2688c1f54/-286Wx359H-441119273-navy-MODEL.jpg,Men,999,100,Striped Slim Fit Shirt with Patch Pocket
Striped Crew-Neck T-shirt,https://assets.ajio.com/medias/sys_master/root/20211027/Wwki/61784cf2f997ddf8f1ea629a/-286Wx359H-441126178-gold-MODEL.jpg,Men,799,100,Striped Crew-Neck T-shirt
Trackpants with Ribbed Drawstring Waist,https://assets.ajio.com/medias/sys_master/root/20220429/8Wxb/626be878aeb26921af4b6547/-286Wx359H-441136532-olive-MODEL.jpg,Men,999,100,Trackpants with Ribbed Drawstring Waist
Panelled Straight Track Pants with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20220530/hGkX/629482fcaeb26921aff1a44b/-286Wx359H-469193981-black-MODEL.jpg,Men,"4,295",100,Panelled Straight Track Pants with Insert Pockets
Placement Brand Print Joggers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210810/SMoM/611188c47cdb8cb824eff0d9/-286Wx359H-441118125-grey-MODEL.jpg,Men,899,100,Placement Brand Print Joggers with Insert Pockets
Flat-Front Trousers with Insert Pockets,https://assets.ajio.com/medias/sys_master/root/20210810/9kux/61117d7aaeb269a2686c92f8/-286Wx359H-441122675-grey-MODEL.jpg,Men,"1,499",100,Flat-Front Trousers with Insert Pockets
Crew Neck Short Sleeves T-shirt,https://assets.ajio.com/medias/sys_master/root/20220301/Qi2H/621e10e5aeb26921afbeb5bb/-286Wx359H-461765767-maroon-MODEL.jpg,Men,799,100,Crew Neck Short Sleeves T-shirt
Slim Fit Flat-Front Trousers,https://assets.ajio.com/medias/sys_master/root/20211112/HGYN/618e85abf997ddf8f1035aae/-286Wx359H-441130009-black-MODEL.jpg,Men,"1,499",100,Slim Fit Flat-Front Trousers
Striped Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20211023/pymF/61730633aeb2690110a3a393/-286Wx359H-460453613-navyblue-MODEL.jpg,Men,"1,649",100,Striped Slim Fit Shirt with Patch Pocket
Striped Flat-Front Chinos with Slant Pockets,https://assets.ajio.com/medias/sys_master/root/20210316/0H1H/6050cceb7cdb8c1f1464f0fc/-286Wx359H-460611032-blue-MODEL.jpg,Men,"1,899",100,Striped Flat-Front Chinos with Slant Pockets
Skinny Fit Mid-Rise Jeans,https://assets.ajio.com/medias/sys_master/root/20210727/xUga/60ff0e29aeb269a9e3532c69/-286Wx359H-441128532-jetblack-MODEL.jpg,Men,999,100,Skinny Fit Mid-Rise Jeans
Checked Slim Fit Shirt with Patch Pocket,https://assets.ajio.com/medias/sys_master/root/20210316/lB4k/604fb4a4aeb2696981864ebb/-286Wx359H-460453602-red-MODEL.jpg,Men,"1,749",100,Checked Slim Fit Shirt with Patch Pocket
Mid Wash Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20211005/nc3V/615c2ed4aeb2692b85adf61d/-286Wx359H-460977751-blue-MODEL.jpg,Men,"2,499",100,Mid Wash Slim Fit Jeans
Slim Fit Polo T-shirt,https://assets.ajio.com/medias/sys_master/root/20220414/A4gH/62580750f997dd03e25e8068/-286Wx359H-464179914-burgundy-MODEL.jpg,Men,"1,999",100,Slim Fit Polo T-shirt
Slim Fit Flat-Front Pants,https://assets.ajio.com/medias/sys_master/root/20210316/Zfsi/6050c8afaeb269698187e355/-286Wx359H-460812646-teal-MODEL.jpg,Men,"1,899",100,Slim Fit Flat-Front Pants
Polo T-shirt with Signature Branding,https://assets.ajio.com/medias/sys_master/root/h79/h21/10247903543326/-286Wx359H-440762638-yellow-OUTFIT.jpg,Men,499,100,Polo T-shirt with Signature Branding
Mid-Rise Flat-Front Cropped Slim Fit Chinos,https://assets.ajio.com/medias/sys_master/root/20210803/al7g/61088261aeb269a268667967/-286Wx359H-441121060-jetblack-MODEL.jpg,Men,"1,299",100,Mid-Rise Flat-Front Cropped Slim Fit Chinos
Mid-Rise Full Length Pyjamas,https://assets.ajio.com/medias/sys_master/root/20210403/UlIh/60687dc97cdb8c1f1476b8f4/-286Wx359H-461428976-white-MODEL.jpg,Men,"1,299",100,Mid-Rise Full Length Pyjamas
Mid-Wash Slim Fit Jeans,https://assets.ajio.com/medias/sys_master/root/20220111/C9aW/61dc834faeb2695cdd0c5b03/-286Wx359H-469084014-blue-MODEL.jpg,Men,"2,599",100,Mid-Wash Slim Fit Jeans
